id,name,hours_of_game,recently_played,genres
550900,Metin2,6,no,Action Adventure Free to Play Massively Multiplayer RPG 
553310,Lethal League Blaze,2,no,Action Indie Sports 
507490,Ashes of the Singularity: Escalation,0,no,Indie Simulation Strategy 
558230,Elsword Free-to-Play,0,no,Action Adventure Casual Free to Play Massively Multiplayer RPG 
418370,Resident Evil 7 Biohazard,50,yes,Action Adventure 
568090,Tattletail,0,no,Action Indie 
568770,Cinderella Phenomenon,0,no,Free to Play Indie Simulation 
569720,TUNNEL DIVERS,1,no,Action Free to Play Indie 
582660,Black Desert,7,no,Action Adventure Massively Multiplayer RPG Simulation Strategy 
582890,Estranged: The Departure,0,no,Action Adventure Casual Indie 
588650,Dead Cells,11,no,Action Indie 
601510,Yu-Gi-Oh! Duel Links,96,no,Free to Play Strategy 
614570,Dishonored®: Death of the Outsider™ ,23,no,Action 
617160,Home Sweet Home,1,yes,Adventure Indie 
622650,Bendy and the Ink Machine,1,no,Action Adventure Indie Strategy 
627690,Idle Champions of the Forgotten Realms,0,no,Action Adventure Free to Play Indie Strategy 
265930,Goat Simulator,3,yes,Casual Indie Simulation 
386180,Crossout,0,no,Action Free to Play Massively Multiplayer Racing 
305050,Outland,0,no,Action Adventure Indie 
218620,PAYDAY 2,0,no,Action RPG 
652190,Emily Wants to Play Too,5,no,Action Adventure Indie Simulation Strategy 
667530,Drunken Wrestlers 2,0,no,Action Casual Free to Play Indie Simulation Sports Early Access 
671310,Pararea Beta,0,no,Casual Free to Play Massively Multiplayer RPG Sports Early Access 
323580,Jotun: Valhalla Edition,0,no,Action Adventure Indie 
689830,DUELEUM,0,no,Action Free to Play Early Access 
692850,Bloodstained: Ritual of the Night,23,no,Action Adventure RPG 
698780,Doki Doki Literature Club,1,no,Casual Free to Play Indie 
699670,Feudal Alloy,14,no,Action Adventure Indie RPG 
700330,SCP: Secret Laboratory,1,no,Action Free to Play 
368420,Mirage: Arcane Warfare,0,no,NA
713650,Sevgilim Olur musun ?,0,no,Adventure Free to Play Indie 
715310,Urban Rivals,1,no,Action Free to Play Massively Multiplayer Strategy 
308040,Back to Bed,0,no,Action Casual Indie 
720250,Welcome to the Game II,1,no,Indie Simulation Strategy 
38400,Fallout,0,no,RPG 
466240,Deceit,9,no,Action Free to Play Indie 
738060,Freddy Fazbear's Pizzeria Simulator,0,no,Free to Play Indie Simulation 
749340,Chocolate makes you happy,0,no,Casual Indie 
427460,Battlerite Public Test,0,no,NA
504370,Battlerite,6,no,Action Free to Play 
760160,Vampire: The Masquerade - Bloodhunt,0,no,Action Free to Play 
774361,Blasphemous,28,no,Action Adventure Indie 
464920,Surviving Mars,0,no,Simulation Strategy 
813820,Realm Royale,0,no,Action Free to Play Early Access 
878760,Realm Royale - Test Server,0,no,NA
236870,HITMAN™,0,no,Action 
433850,Z1 Battle Royale,3,no,Action Adventure Free to Play Massively Multiplayer 
439700,H1Z1: Test Server,0,no,Massively Multiplayer 
823130,Totally Accurate Battlegrounds,0,no,Action Free to Play Indie 
838310,Bloodstained: Curse of the Moon,12,no,Action 
844870,KurtzPel,0,no,Action Free to Play Early Access 
845070,The Awesome Adventures of Captain Spirit,0,no,Adventure Free to Play 
856880,Fighting Fantasy Classics,0,no,Free to Play Indie RPG 
731490,Crash Bandicoot™ N. Sane Trilogy,27,no,Action 
861670,Street Level: Windows Edition,0,no,Strategy 
13250,Unreal Gold,0,no,Action 
871720,Ultimate Custom Night,0,no,Action Free to Play Indie 
611500,Quake Champions,0,no,Action Free to Play Early Access 
351100,Niffelheim,0,no,Action Adventure Indie RPG Simulation 
638970,Yakuza 0,0,no,Action Adventure RPG 
737800,F1 2018,0,no,Racing Simulation Sports 
222880,Insurgency,0,no,Action Indie Strategy 
931690,Himno,0,no,Adventure Casual Free to Play Indie 
730,Counter-Strike: Global Offensive,0,no,Action Free to Play 
967050,Pacify,0,no,Action Adventure Casual Indie Strategy 
43110,Metro 2033,0,no,Action 
638070,Murderous Pursuits,0,no,Action Indie Simulation Strategy 
973760,Thronebreaker: The Witcher Tales,25,yes,Adventure RPG 
582010,Monster Hunter: World,17,no,Action 
893180,Catherine Classic,0,no,Adventure 
883710,Resident Evil 2,62,yes,Action 
489520,Minion Masters,0,no,Action Adventure Free to Play Indie RPG Strategy 
204880,Sins of a Solar Empire: Rebellion,0,no,Action Indie Simulation Strategy 
308600,Geneshift,0,no,Action Indie RPG Early Access 
343710,KHOLAT,0,no,Adventure Indie 
976730,Halo: The Master Chief Collection,10,no,Action 
1098940,Home Sweet Home EP2,0,no,Action Adventure Indie 
791470,DYO,0,no,Indie 
1131080,Deadswitch 3,0,no,Action Casual Free to Play Indie Strategy 
1131620,Dominion,0,no,Strategy Early Access 
374280,Hired Ops,0,no,Action Free to Play Massively Multiplayer 
1147560,Skul: The Hero Slayer,50,yes,Action Indie 
310560,DiRT Rally,0,no,Racing Simulation Sports 
1085660,Destiny 2,1,no,Action Adventure Free to Play 
203770,Crusader Kings II,0,no,Free to Play RPG Simulation Strategy 
678960,CODE VEIN,0,no,Action RPG 
1201240,BLEACH Brave Souls - 3D Action,636,yes,Action Casual Free to Play RPG 
1145360,Hades,82,no,Action Indie RPG 
1222690,Dragon Age™ Inquisition,0,no,Action Adventure RPG Strategy 
567730,Merry Snowballs,0,no,NA
1257360,Bloodstained: Curse of the Moon 2,15,no,Action 
952060,Resident Evil 3,17,no,Action 
952070,RESIDENT EVIL RESISTANCE,0,no,Action 
406970,The Uncertain: Last Quiet Day,0,no,Adventure Indie 
555000,GOAT OF DUTY,0,no,Action Early Access 
797410,Headsnatchers,0,no,Action Casual Indie Sports 
760620,Deiland,0,no,NA
203160,Tomb Raider,0,no,Action Adventure 
289690,Lara Croft and the Temple of Osiris,0,no,Action Adventure 
3720,Evil Genius,0,no,Strategy 
335190,200% Mixed Juice!,0,no,Adventure Indie RPG 
390710,Acceleration of SUGURI 2,0,no,Action Indie 
282800,100% Orange Juice,0,no,Indie Strategy 
1281930,tModLoader,1,no,Action Adventure Free to Play Indie RPG 
442120,Pinball FX3,0,no,Simulation 
1289310,Helltaker,3,no,Adventure Free to Play Indie 
34330,Total War: SHOGUN 2,0,no,Strategy 
1308380,Super Bomberman R Online,1,no,Action Casual Free to Play 
435790,10 Second Ninja X,0,no,Action Indie 
640590,The LEGO® NINJAGO® Movie Video Game,0,no,Action 
242700,Injustice: Gods Among Us Ultimate Edition,0,no,Action 
1368440,Armor Of Heroes,0,no,NA
1368450,ENDLESS™ Zone,0,no,NA
1368460,Golden Axed: A Cancelled Prototype,0,no,NA
266310,GameGuru Classic,4,no,Animation & Modeling Design & Illustration Education Software Training Utilities Game Development 
209630,Magrunner: Dark Pulse,0,no,Action Adventure Indie 
465760,Scrap Garden,0,no,Action Adventure Indie 
1431610,Prison Simulator: Prologue,0,no,Action RPG Simulation 
1433990,NGU INDUSTRIES,0,no,Free to Play Indie Early Access 
34270,SEGA Mega Drive & Genesis Classics,0,no,Action Adventure Casual RPG 
1449850,Yu-Gi-Oh!  Master Duel,113,yes,Free to Play Simulation Strategy 
1451740,Children of Silentown: Prologue,0,no,Adventure Free to Play Indie 
1325200,Nioh 2 – The Complete Edition,135,no,Action RPG 
1476970,Legends of Idleon MMO,0,no,Casual Free to Play Indie Massively Multiplayer RPG Simulation Early Access 
843380,Super Animal Royale,0,no,Action Adventure Casual Free to Play Indie Massively Multiplayer 
1481400,Dagon,0,no,Adventure Free to Play Indie 
1533390,Gorilla Tag,0,no,Action Casual Free to Play Early Access 
616560,Ultimate Epic Battle Simulator,0,no,Action Adventure Indie Simulation Strategy 
